"connectionType","headline","name","photoUrl","profileId","profileUrl","reactionType"
"2nd","Multimedia Designer","Adriano D'Aguiar","https://media.licdn.com/dms/image/v2/D4E03AQGhGI3gtpaABA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1674488044506?e=1756944000&v=beta&t=2bjRbM3G_dbrtzP0Lm876wP44AMCCXrCCpzJ8ycc124","ACoAAAR1cyMBhMAWfo0dtHLaP3BoT_NeaEo7RvI","https://www.linkedin.com/in/ACoAAAR1cyMBhMAWfo0dtHLaP3BoT_NeaEo7RvI","LIKE"
"2nd","Brand + Motion Designer - Amazon, Spotify, HP","Sam Morgan","https://media.licdn.com/dms/image/v2/D5603AQFiIWOjlrGeUw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1724882627774?e=1756944000&v=beta&t=qoEQ4UAyhJDnEBewYU9vI35PLcqYcNP479UOEAMfbUQ","ACoAABszhxMBNHW1llLSG4cqUp7oYlxvk2ddfL0","https://www.linkedin.com/in/ACoAABszhxMBNHW1llLSG4cqUp7oYlxvk2ddfL0","LIKE"
"2nd","2D animator & illustrator","Bárbara Nozari","https://media.licdn.com/dms/image/v2/D4D03AQGz9VIg3npnqA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1706177353125?e=1756944000&v=beta&t=ClPfeu176TU9PO8Z0wu197uWtIWcBEZnm8TzK4Tfnsw","ACoAAAa6N2kBGZQIdTJhmCoKUJltPV-eIpS6xZI","https://www.linkedin.com/in/ACoAAAa6N2kBGZQIdTJhmCoKUJltPV-eIpS6xZI","LIKE"
"2nd","Brand identity | UX/ UI | Motion Designer","Mobolaji-Johnson Olaniyan","https://media.licdn.com/dms/image/v2/D4D03AQEgroCT41rH9w/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1698836089462?e=1756944000&v=beta&t=V-N_5HM4MvflHpuJCIsQiyYHdpnZZ8azxJc5Wj4Ox94","ACoAAChFZpEB8GncqC77hGIXnJF1zoT7rwzt7G8","https://www.linkedin.com/in/ACoAAChFZpEB8GncqC77hGIXnJF1zoT7rwzt7G8","LIKE"
"2nd","Visual & Brand Designer | Building identities for Web3 and emerging tech","Daniel Muller","https://media.licdn.com/dms/image/v2/D4E03AQE1R6UO5RBI4w/profile-displayphoto-shrink_100_100/B4EZbgw7BMGcAY-/0/1747527643571?e=1756944000&v=beta&t=n5LMTQez1jhs2Gfmor9t2_FVWh8aiPxnGSMoP5dFyNo","ACoAADN_JEABpXq0L8jrJYhdDbl5YlKPYnrk7Sw","https://www.linkedin.com/in/ACoAADN_JEABpXq0L8jrJYhdDbl5YlKPYnrk7Sw","LIKE"
"2nd","Creative Designer | Brand Guardian","Daniel Quintero","https://media.licdn.com/dms/image/v2/C4E03AQEELTUwzZzOpA/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1649880959271?e=1756944000&v=beta&t=Ji9plAn-z-6pVe8NlQH7pRrh2w-zEQYNZJyAJ7xI98I","ACoAADrsVnIBd4PwUPHVjxt9KsWmYgCmv9bk6Ws","https://www.linkedin.com/in/ACoAADrsVnIBd4PwUPHVjxt9KsWmYgCmv9bk6Ws","INTEREST"
"2nd","Founder at Bisuala | Elevating Gaming, Digital Products & Brand Identity Through Motion Design","Marc Vilarnau","https://media.licdn.com/dms/image/v2/D4D03AQG8xw3Me_1YCw/profile-displayphoto-shrink_800_800/B4DZTRfsbBH0Ag-/0/1738681534574?e=1756944000&v=beta&t=tCwHRShjLEignm71p5Tb07D5y8weLVOXuKUuIesy83Y","ACoAAATzXFsBt1mkQwSqWWK8fBbQNOGnBcsvrRU","https://www.linkedin.com/in/ACoAAATzXFsBt1mkQwSqWWK8fBbQNOGnBcsvrRU","LIKE"
"2nd","Executive Creative Director","Micha Seger","https://media.licdn.com/dms/image/v2/D4E03AQEZ0Ju0Ftj2vw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1678922939608?e=1756944000&v=beta&t=QWVNkRhNfC3rhiJX9K1_hk3hmeOjrQcx-pVHZbh0B8g","ACoAABIuhXUBWkI7fRfS4OMd2ZPFch6fkbl2Kkw","https://www.linkedin.com/in/ACoAABIuhXUBWkI7fRfS4OMd2ZPFch6fkbl2Kkw","LIKE"
"2nd","Freelance Motion and Visual Designer","Ashish Avale","https://media.licdn.com/dms/image/v2/C4D03AQHu6et14LpSMg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1620924003433?e=1756944000&v=beta&t=5fAjzCpgSfhO7J9b9QJblwzf07F7IpZHnJ0dt4UUAYc","ACoAACgmhMYBX9QmH60RqufnwH1ruUKO2YBho50","https://www.linkedin.com/in/ACoAACgmhMYBX9QmH60RqufnwH1ruUKO2YBho50","PRAISE"
"2nd","Senior Motion Designer","Dan Stein","https://media.licdn.com/dms/image/v2/C4D03AQGNEzHg172Hgw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1568528742516?e=1756944000&v=beta&t=4nICZpbMz7psIGS7BB09jQZYpV6dy6K13shB71t4aLo","ACoAABNqt-MBP0K0DrIgHrOg-4T0_mpD1oLQOHE","https://www.linkedin.com/in/ACoAABNqt-MBP0K0DrIgHrOg-4T0_mpD1oLQOHE","EMPATHY"
"2nd","Creative Director, Motion","Daniel Kennington","https://media.licdn.com/dms/image/v2/D4E03AQHCNJmVYoNbJw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1696966199407?e=1756944000&v=beta&t=uYk51qqKV10FpLr7lt5gpCSXHJK319RwQl1E0l_EA1g","ACoAABH8N9cBFRBcxoSFMoP4F2WsjeJAYfhgMBo","https://www.linkedin.com/in/ACoAABH8N9cBFRBcxoSFMoP4F2WsjeJAYfhgMBo","LIKE"
"2nd","Visual & Motion Designer | Generative AI Creative | Team Mentor","Ricardo Donoso Palma","https://media.licdn.com/dms/image/v2/D4E03AQHem9hCl_aSgg/profile-displayphoto-shrink_100_100/B4EZarnRSvHoAg-/0/1746635921164?e=1756944000&v=beta&t=vuYsJYDe5A0gLbLsQMMNvDiji0MaeptBPcqe7b18hA4","ACoAAAR6g9EBxqsOoSuRpcTIJH6RaTddYPCLjqE","https://www.linkedin.com/in/ACoAAAR6g9EBxqsOoSuRpcTIJH6RaTddYPCLjqE","PRAISE"
"2nd","Illustrator – Worked with Nike, Google, The Guardian, Wired + many more","Bratislav Milenkovic","https://media.licdn.com/dms/image/v2/C4E03AQEb_zPWHUTVOQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1652783099098?e=1756944000&v=beta&t=YOe9VCY8BrKi12OxJQ3orxxpFlMWK90RD5qGIkL2rVE","ACoAADukANkBl_chffe0UxaXBGWEt3F5WVgh9Wg","https://www.linkedin.com/in/ACoAADukANkBl_chffe0UxaXBGWEt3F5WVgh9Wg","LIKE"
"2nd","Multidisciplinary Designer | Available for Global & Remote Work","Preeti S.","https://media.licdn.com/dms/image/v2/D5603AQFKUv_8Uhw-FQ/profile-displayphoto-shrink_800_800/B56ZTAeE3cHsAc-/0/1738395898490?e=1756944000&v=beta&t=uS4jFLILQa9zByfkQsT876Y1QxIjGH6I3wOdVroaBoY","ACoAAESBxJUBs-8KS_D2iLr3NJJDGKwQrg1BGjY","https://www.linkedin.com/in/ACoAAESBxJUBs-8KS_D2iLr3NJJDGKwQrg1BGjY","LIKE"
"2nd","Graphic & Motion Designer | Branding & Marketing Design | Enhancing Visuals with AI & Creativity","Ilgar Nabizade","https://media.licdn.com/dms/image/v2/D5635AQH6-3p2xH3dAg/profile-framedphoto-shrink_400_400/B56ZVRdAu3GsAc-/0/1740828315096?e=1751990400&v=beta&t=-uFW9wlr2EdtwA5BlsImgP67WzNo6NVPtQvey_3_GCI","ACoAADN49ukBUhnE6kg0y5OrKUdbew725EpcXGQ","https://www.linkedin.com/in/ACoAADN49ukBUhnE6kg0y5OrKUdbew725EpcXGQ","LIKE"
"2nd","Design Director at TIAA","Miguel Trujillo","https://media.licdn.com/dms/image/v2/D4E03AQGGSmjK0nyseQ/profile-displayphoto-shrink_200_200/B4EZbMAVN8HYAY-/0/1747179361642?e=1756944000&v=beta&t=kQlaOQ-0YFoBFBcPA5zd9L2fzLigiyVNOxbbOzGY97Q","ACoAACPc690BoDlDE2Fc9C9IKqnJ9_rEyvQfO2g","https://www.linkedin.com/in/ACoAACPc690BoDlDE2Fc9C9IKqnJ9_rEyvQfO2g","LIKE"
"3rd+","Motion Designer","Isra Hernandez","https://media.licdn.com/dms/image/v2/C4E03AQGb08C7IhSe7Q/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1612558773454?e=1756944000&v=beta&t=aSU1Q7iZnvvr1rJ_nsFORedsbs-vmQVOIxHrts81158","ACoAADFh4EwB0aXfmfdLowJr9rM2QGWJcHJVBls","https://www.linkedin.com/in/ACoAADFh4EwB0aXfmfdLowJr9rM2QGWJcHJVBls","LIKE"
"2nd","Digital & Motion Designer","Ferdi ✷ Jajai","https://media.licdn.com/dms/image/v2/C4E03AQFrtkQ0i_4jSw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1657617291745?e=1756944000&v=beta&t=X-YsZzU4YiS_bGnhXXDq4loNNTaG84SpMStBE7ayqL8","ACoAABI2KdcBT6o_VvQ6THOkHBwRs_h--ixT5gM","https://www.linkedin.com/in/ACoAABI2KdcBT6o_VvQ6THOkHBwRs_h--ixT5gM","EMPATHY"
"3rd+","Motion & Visual Designer | Crafting strategic visuals for brands & digital products.","Camila P.","https://media.licdn.com/dms/image/v2/D4D03AQHMJNSP6muG3Q/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1724430063813?e=1756944000&v=beta&t=dt1EaG08oE24jRYrljSc_CnUkTsa5fa5m9h01GN5IUs","ACoAADb0WmMB4WXaY8iBH4hEo8nqGqZC20TlkHU","https://www.linkedin.com/in/ACoAADb0WmMB4WXaY8iBH4hEo8nqGqZC20TlkHU","LIKE"
"3rd+","Motion Designer/Video editor","Matthew O'Donoghue","https://media.licdn.com/dms/image/v2/D4E35AQGbaSijdd-YYg/profile-framedphoto-shrink_400_400/B4EZYfmSQeHkAg-/0/1744286852425?e=1751990400&v=beta&t=fQU1zrEoZJ9K0Z1aByElvxpHeSgvCPeS95ZMNmyowDY","ACoAAALN1pwBduqmhSz0vZBVAs_psEAuG-PcLAI","https://www.linkedin.com/in/ACoAAALN1pwBduqmhSz0vZBVAs_psEAuG-PcLAI","LIKE"
"2nd","Motion Director at Koto","Santiago Avila","https://media.licdn.com/dms/image/v2/C4D03AQFiPo7Fr5Ak9w/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1650916694787?e=1756944000&v=beta&t=A6QhX1R1gy6vkYcRx06TnQtgzUNXrudUhmBvFWwskjs","ACoAAC0nU60BE2uq8Sjuab0i-E-sA6vC-1upM1w","https://www.linkedin.com/in/ACoAAC0nU60BE2uq8Sjuab0i-E-sA6vC-1upM1w","EMPATHY"
"2nd","Helping Brands to move with Motion Design","Henning Bauschulte","https://media.licdn.com/dms/image/v2/D4E03AQFuljzy9mLr7g/profile-displayphoto-shrink_800_800/B4EZWthff6GwAc-/0/1742372993518?e=1756944000&v=beta&t=-gfNOy--3HTPmxS1oYqQ2_juwFl4EzyFzkAeKVsVbeE","ACoAAC2dz_UB0vUXeahKSzjLk6wt1Nq12PJvUf8","https://www.linkedin.com/in/ACoAAC2dz_UB0vUXeahKSzjLk6wt1Nq12PJvUf8","LIKE"
"2nd","Cinematic Animator @ Kforce | Motion Graphics","Ronald Cortez","https://media.licdn.com/dms/image/v2/D4E03AQGCw2U7-z91bQ/profile-displayphoto-shrink_400_400/B4EZdqzUOdH0Ak-/0/1749843527088?e=1756944000&v=beta&t=g574E-fMIgyCrjkvn75j2q61N9YO8tj8wvOyo96Nyws","ACoAAAUCatcB2XlYTALg5iy_1vnoHt4OHexEDpM","https://www.linkedin.com/in/ACoAAAUCatcB2XlYTALg5iy_1vnoHt4OHexEDpM","LIKE"
"2nd","Motion Designer focused on Branding | Art Direction | Explainer & Promo Videos | Graphic Design","Luan Gabriel","https://media.licdn.com/dms/image/v2/D4D03AQHfWl_vR9v_aA/profile-displayphoto-shrink_800_800/B4DZco2h_aH4Ac-/0/1748737073497?e=1756944000&v=beta&t=YamFJX91_cjC7Nmkk8fqK9f0bdM2J0fuzcqV5TRL0PA","ACoAADlpsucBGdRLgk6A1JISoLn1GXDrUB326oA","https://www.linkedin.com/in/ACoAADlpsucBGdRLgk6A1JISoLn1GXDrUB326oA","EMPATHY"
"2nd","Motion Designer","Yhareli Chamboneth","https://media.licdn.com/dms/image/v2/D4E03AQEIjknRipqO9Q/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1685628466009?e=1756944000&v=beta&t=JPqrcnrXIy9sUCJspKK2o1_yPuAh65ZUhUpIjOJDbDg","ACoAAAfQ9B8BSV9QpH8ONEAau8Igz3R1fiHzs80","https://www.linkedin.com/in/ACoAAAfQ9B8BSV9QpH8ONEAau8Igz3R1fiHzs80","LIKE"
